6;12:10;12:10;66;12:11;12:11;107;12:13;12:13;123;12:15;12:15;2;12:16;12:16;94;12:17;12:17;111;12:18;12:18;5;12:19;12:19;1;12:20;12:20;61;12:22;12:22;37;12:24;12:24;76;12:26;12:26;71;12:29;12:29;73;12:30;12:30;72;12:31;12:31;83;12:33;12:33;33;12:34;12:34;31;12:35;12:35;32;12:36;12:36;30;12:37;12:37;116;12:39;12:39;115;12:40;12:40;29;12:42;12:42;27;12:43;12:43;26;12:44;-1;;;
117;12:24;12:24;116;12:25;12:25;30;12:27;12:27;32;12:28;12:28;31;12:29;12:29;33;12:30;12:30;83;12:31;12:31;72;12:33;12:33;73;12:34;12:34;71;12:35;12:35;76;12:38;12:38;37;12:40;12:40;61;12:42;12:42;1;12:44;12:44;5;12:45;12:45;111;12:47;12:47;95;12:48;12:48;2;12:49;12:49;123;12:51;12:51;107;12:53;12:53;66;12:55;12:55;78;12:56;-1;;;;;;;;;;;;
6;12:40;12:40;66;12:41;12:41;107;12:43;12:43;123;12:45;12:45;2;12:46;12:46;94;12:47;12:47;111;12:48;12:48;5;12:49;12:49;1;12:50;12:50;61;12:52;12:52;37;12:54;12:54;76;12:56;12:56;71;12:59;12:59;73;13:00;13:00;72;13:01;13:01;83;13:03;13:03;33;13:04;13:04;31;13:05;13:05;32;13:06;13:06;30;13:07;13:07;116;13:09;13:09;117;13:10;-1;;;;;;;;;;;;
26;12:48;12:48;28;12:50;12:50;27;12:51;12:51;29;12:52;12:52;115;12:54;12:54;116;12:55;12:55;30;12:57;12:57;32;12:58;12:58;31;12:59;12:59;33;13:00;13:00;83;13:01;13:01;72;13:03;13:03;73;13:04;13:04;71;13:05;13:05;76;13:08;13:08;37;13:10;13:10;61;13:12;13:12;1;13:14;13:14;5;13:15;13:15;111;13:17;13:17;95;13:18;13:18;2;13:19;13:19;123;13:21;13:21;107;13:23;13:23;66;13:25;13:25;78;13:26;-1
6;13:10;13:10;66;13:11;13:11;107;13:13;13:13;123;13:15;13:15;2;13:16;13:16;94;13:17;13:17;111;13:18;13:18;5;13:19;13:19;1;13:20;13:20;61;13:22;13:22;37;13:24;13:24;76;13:26;13:26;71;13:29;13:29;73;13:30;13:30;72;13:31;13:31;83;13:33;13:33;33;13:34;13:34;31;13:35;13:35;32;13:36;13:36;30;13:37;13:37;116;13:39;13:39;115;13:40;13:40;29;13:42;13:42;27;13:43;13:43;26;13:44;-1;;;
117;13:24;13:24;116;13:25;13:25;30;13:27;13:27;32;13:28;13:28;31;13:29;13:29;33;13:30;13:30;83;13:31;13:31;72;13:33;13:33;73;13:34;13:34;71;13:35;13:35;76;13:38;13:38;37;13:40;13:40;61;13:42;13:42;1;13:44;13:44;5;13:45;13:45;111;13:47;13:47;95;13:48;13:48;2;13:49;13:49;123;13:51;13:51;107;13:53;13:53;66;13:55;13:55;78;13:56;-1;;;;;;;;;;;;
6;13:40;13:40;66;13:41;13:41;107;13:43;13:43;123;13:45;13:45;2;13:46;13:46;94;13:47;13:47;111;13:48;13:48;5;13:49;13:49;1;13:50;13:50;61;13:52;13:52;37;13:54;13:54;76;13:56;13:56;71;13:59;13:59;73;14:00;14:00;72;14:01;14:01;83;14:03;14:03;33;14:04;14:04;31;14:05;14:05;32;14:06;14:06;30;14:07;14:07;116;14:09;14:09;117;14:10;-1;;;;;;;;;;;;
26;13:50;13:50;27;13:51;13:51;29;13:52;13:52;115;13:54;13:54;116;13:55;13:55;30;13:57;13:57;32;13:58;13:58;31;13:59;13:59;33;14:00;14:00;83;14:01;14:01;72;14:03;14:03;73;14:04;14:04;71;14:05;14:05;76;14:08;14:08;37;14:10;14:10;61;14:12;14:12;1;14:14;14:14;5;14:15;14:15;111;14:17;14:17;95;14:18;14:18;2;14:19;14:19;123;14:21;14:21;107;14:23;14:23;66;14:25;14:25;78;14:26;-1;;;
6;14:10;14:10;66;14:11;14:11;107;14:13;14:13;123;14:15;14:15;2;14:16;14:16;94;14:17;14:17;111;14:18;14:18;5;14:19;14:19;1;14:20;14:20;61;14:22;14:22;37;14:24;14:24;76;14:26;14:26;71;14:29;14:29;73;14:30;14:30;72;14:31;14:31;83;14:33;14:33;33;14:34;14:34;31;14:35;14:35;32;14:36;14:36;30;14:37;14:37;116;14:39;14:39;115;14:40;14:40;29;14:42;14:42;27;14:43;14:43;26;14:44;-1;;;
117;14:24;14:24;116;14:25;14:25;30;14:27;14:27;32;14:28;14:28;31;14:29;14:29;33;14:30;14:30;83;14:31;14:31;72;14:33;14:33;73;14:34;14:34;71;14:35;14:35;76;14:38;14:38;37;14:40;14:40;61;14:42;14:42;1;14:44;14:44;5;14:45;14:45;111;14:47;14:47;95;14:48;14:48;2;14:49;14:49;123;14:51;14:51;107;14:53;14:53;66;14:55;14:55;78;14:56;-1;;;;;;;;;;;;
6;14:40;14:40;66;14:41;14:41;107;14:43;14:43;123;14:45;14:45;2;14:46;14:46;94;14:47;14:47;111;14:48;14:48;5;14:49;14:49;1;14:50;14:50;61;14:52;14:52;37;14:54;14:54;76;14:56;14:56;71;14:59;14:59;73;15:00;15:00;72;15:01;15:01;83;15:03;15:03;33;15:04;15:04;31;15:05;15:05;32;15:06;15:06;30;15:07;15:07;116;15:09;15:09;117;15:10;-1;;;;;;;;;;;;
26;14:50;14:50;27;14:51;14:51;29;14:52;14:52;115;14:54;14:54;116;14:55;14:55;30;14:57;14:57;32;14:58;14:58;31;14:59;14:59;33;15:00;15:00;83;15:01;15:01;72;15:03;15:03;73;15:04;15:04;71;15:05;15:05;76;15:08;15:08;37;15:10;15:10;61;15:12;15:12;1;15:14;15:14;5;15:15;15:15;111;15:17;15:17;95;15:18;15:18;2;15:19;15:19;123;15:21;15:21;107;15:23;15:23;66;15:25;15:25;78;15:26;-1;;;
6;15:10;15:10;66;15:11;15:11;107;15:13;15:13;123;15:15;15:15;2;15:16;15:16;94;15:17;15:17;111;15:18;15:18;5;15:19;15:19;1;15:20;15:20;61;15:22;15:22;37;15:24;15:24;76;15:26;15:26;71;15:29;15:29;73;15:30;15:30;72;15:31;15:31;83;15:33;15:33;33;15:34;15:34;31;15:35;15:35;32;15:36;15:36;30;15:37;15:37;116;15:39;15:39;115;15:40;15:40;29;15:42;15:42;27;15:43;15:43;26;15:44;-1;;;
117;15:24;15:24;116;15:25;15:25;30;15:27;15:27;32;15:28;15:28;31;15:29;15:29;33;15:30;15:30;83;15:31;15:31;72;15:33;15:33;73;15:34;15:34;71;15:35;15:35;76;15:38;15:38;37;15:40;15:40;61;15:42;15:42;1;15:44;15:44;5;15:45;15:45;111;15:47;15:47;95;15:48;15:48;2;15:49;15:49;123;15:51;15:51;107;15:53;15:53;66;15:55;15:55;78;15:56;-1;;;;;;;;;;;;
6;15:40;15:40;66;15:41;15:41;107;15:43;15:43;123;15:45;15:45;2;15:46;15:46;94;15:47;15:47;111;15:48;15:48;5;15:49;15:49;1;15:50;15:50;61;15:52;15:52;37;15:54;15:54;76;15:56;15:56;71;15:59;15:59;73;16:00;16:00;72;16:01;16:01;83;16:03;16:03;33;16:04;16:04;31;16:05;16:05;32;16:06;16:06;30;16:07;16:07;116;16:09;-1;;;;;;;;;;;;;;;
26;15:50;15:50;27;15:51;15:51;29;15:52;15:52;115;15:54;15:54;116;15:55;15:55;30;15:57;15:57;32;15:58;15:58;31;15:59;15:59;33;16:00;16:00;83;16:01;16:01;72;16:03;16:03;73;16:04;16:04;71;16:05;16:05;76;16:08;16:08;37;16:10;16:10;61;16:12;16:12;1;16:14;16:14;5;16:15;16:15;111;16:17;16:17;95;16:18;16:18;2;16:19;16:19;123;16:21;16:21;107;16:23;16:23;66;16:25;16:25;78;16:26;-1;;;
6;15:55;15:55;66;15:56;15:56;107;15:58;15:58;123;16:00;16:00;2;16:01;16:01;94;16:02;16:02;111;16:03;16:03;5;16:04;16:04;1;16:05;16:05;61;16:07;16:07;37;16:09;16:09;76;16:11;16:11;71;16:14;16:14;73;16:15;16:15;72;16:16;16:16;83;16:18;16:18;33;16:19;16:19;31;16:20;16:20;32;16:21;16:21;30;16:22;16:22;116;16:24;-1;;;;;;;;;;;;;;;
6;16:10;16:10;66;16:11;16:11;107;16:13;16:13;123;16:15;16:15;2;16:16;16:16;94;16:17;16:17;111;16:18;16:18;5;16:19;16:19;1;16:20;16:20;61;16:22;16:22;37;16:24;16:24;76;16:26;16:26;71;16:29;16:29;73;16:30;16:30;72;16:31;16:31;83;16:33;16:33;33;16:34;16:34;31;16:35;16:35;32;16:36;16:36;30;16:37;16:37;116;16:39;16:39;115;16:40;16:40;29;16:42;16:42;27;16:43;16:43;26;16:44;-1;;;
117;16:24;16:24;116;16:25;16:25;30;16:27;16:27;32;16:28;16:28;31;16:29;16:29;33;16:30;16:30;83;16:31;16:31;72;16:33;16:33;73;16:34;16:34;71;16:35;16:35;76;16:38;16:38;37;16:40;16:40;61;16:42;16:42;1;16:44;16:44;5;16:45;16:45;111;16:47;16:47;95;16:48;16:48;2;16:49;16:49;123;16:51;16:51;107;16:53;16:53;66;16:55;16:55;78;16:56;-1;;;;;;;;;;;;
